Age Range,Covid Vacc Date,Black,Black total,Mixed,Mixed total,Other,Other total,South Asian,South Asian total,Unknown,Unknown total,White,White total
50-54,1/12/2020,0,37737,0,15393,0,28777,0,85708,0,183477,0,1213527
50-54,4/12/2020,0,37737,0,15393,0,28777,0,85708,0,183477,0,1213527
50-54,8/12/2020,0,37737,0,15393,7,28777,21,85708,28,183477,189,1213527
50-54,9/12/2020,14,37737,7,15393,14,28777,56,85708,63,183477,525,1213527
50-54,10/12/2020,14,37737,14,15393,21,28777,84,85708,84,183477,812,1213527
50-54,11/12/2020,28,37737,14,15393,35,28777,119,85708,126,183477,1141,1213527
50-54,12/12/2020,28,37737,21,15393,42,28777,154,85708,161,183477,1470,1213527
50-54,13/12/2020,35,37737,28,15393,49,28777,182,85708,189,183477,1708,1213527
50-54,14/12/2020,42,37737,28,15393,56,28777,231,85708,245,183477,1988,1213527
50-54,15/12/2020,63,37737,35,15393,70,28777,287,85708,294,183477,2513,1213527
50-54,16/12/2020,70,37737,49,15393,84,28777,357,85708,371,183477,3227,1213527
50-54,17/12/2020,91,37737,56,15393,105,28777,448,85708,462,183477,4053,1213527
50-54,18/12/2020,112,37737,70,15393,133,28777,560,85708,553,183477,4837,1213527
50-54,19/12/2020,133,37737,77,15393,154,28777,630,85708,616,183477,5474,1213527
50-54,20/12/2020,154,37737,91,15393,168,28777,735,85708,728,183477,6342,1213527
50-54,21/12/2020,168,37737,98,15393,196,28777,875,85708,882,183477,7539,1213527
50-54,22/12/2020,189,37737,112,15393,224,28777,1015,85708,1001,183477,8596,1213527
50-54,23/12/2020,210,37737,133,15393,273,28777,1190,85708,1162,183477,9821,1213527
50-54,24/12/2020,224,37737,140,15393,294,28777,1295,85708,1239,183477,10423,1213527
50-54,25/12/2020,224,37737,140,15393,294,28777,1295,85708,1239,183477,10423,1213527
50-54,26/12/2020,224,37737,140,15393,294,28777,1302,85708,1239,183477,10437,1213527
50-54,27/12/2020,231,37737,147,15393,301,28777,1323,85708,1260,183477,10612,1213527
50-54,28/12/2020,238,37737,154,15393,315,28777,1358,85708,1295,183477,10941,1213527
50-54,29/12/2020,266,37737,168,15393,350,28777,1484,85708,1393,183477,11760,1213527
50-54,30/12/2020,294,37737,196,15393,406,28777,1701,85708,1589,183477,13839,1213527
50-54,31/12/2020,336,37737,224,15393,462,28777,1904,85708,1813,183477,15862,1213527
50-54,1/1/2021,350,37737,231,15393,490,28777,1953,85708,1869,183477,16415,1213527
50-54,2/1/2021,364,37737,231,15393,497,28777,2002,85708,1925,183477,17059,1213527
50-54,3/1/2021,371,37737,245,15393,504,28777,2044,85708,1981,183477,17577,1213527
50-54,4/1/2021,392,37737,252,15393,525,28777,2142,85708,2058,183477,18515,1213527
50-54,5/1/2021,441,37737,280,15393,588,28777,2345,85708,2247,183477,20363,1213527
50-54,6/1/2021,518,37737,315,15393,637,28777,2548,85708,2513,183477,22799,1213527
50-54,7/1/2021,588,37737,350,15393,721,28777,2856,85708,2919,183477,26397,1213527
50-54,8/1/2021,672,37737,392,15393,826,28777,3185,85708,3353,183477,30352,1213527
50-54,9/1/2021,728,37737,427,15393,896,28777,3472,85708,3731,183477,33852,1213527
50-54,10/1/2021,777,37737,455,15393,938,28777,3619,85708,3955,183477,36043,1213527
50-54,11/1/2021,847,37737,483,15393,1015,28777,3843,85708,4319,183477,39200,1213527
50-54,12/1/2021,945,37737,518,15393,1092,28777,4095,85708,4774,183477,43239,1213527
50-54,13/01/2021,1071,37737,581,15393,1190,28777,4354,85708,5257,183477,47656,1213527
50-54,14/01/2021,1190,37737,637,15393,1288,28777,4662,85708,5747,183477,52486,1213527
50-54,15/01/2021,1344,37737,693,15393,1358,28777,4970,85708,6300,183477,58079,1213527
50-54,16/01/2021,1442,37737,742,15393,1435,28777,5278,85708,6790,183477,62790,1213527
50-54,17/01/2021,1526,37737,784,15393,1477,28777,5467,85708,7133,183477,65989,1213527
50-54,18/01/2021,1631,37737,833,15393,1526,28777,5677,85708,7539,183477,69734,1213527
50-54,19/01/2021,1764,37737,889,15393,1610,28777,5873,85708,7973,183477,73927,1213527
50-54,20/01/2021,1904,37737,938,15393,1687,28777,6146,85708,8393,183477,78421,1213527
50-54,21/01/2021,2079,37737,1015,15393,1750,28777,6447,85708,8890,183477,83244,1213527
50-54,22/01/2021,2268,37737,1092,15393,1834,28777,6762,85708,9499,183477,88823,1213527
50-54,23/01/2021,2401,37737,1134,15393,1897,28777,6993,85708,9926,183477,93233,1213527
50-54,24/01/2021,2478,37737,1162,15393,1932,28777,7140,85708,10178,183477,95956,1213527
50-54,25/01/2021,2597,37737,1197,15393,1981,28777,7308,85708,10528,183477,99085,1213527
50-54,26/01/2021,2737,37737,1246,15393,2030,28777,7504,85708,10913,183477,102641,1213527
50-54,27/01/2021,2884,37737,1295,15393,2086,28777,7707,85708,11270,183477,106099,1213527
50-54,28/01/2021,3024,37737,1351,15393,2142,28777,7910,85708,11641,183477,109620,1213527
50-54,29/01/2021,3164,37737,1386,15393,2191,28777,8127,85708,12054,183477,113358,1213527
50-54,30/01/2021,3255,37737,1428,15393,2240,28777,8309,85708,12376,183477,116515,1213527
50-54,31/01/2021,3339,37737,1456,15393,2268,28777,8456,85708,12600,183477,118804,1213527
50-54,1/2/2021,3402,37737,1477,15393,2310,28777,8596,85708,12817,183477,120932,1213527
50-54,2/2/2021,3486,37737,1512,15393,2352,28777,8785,85708,13083,183477,123347,1213527
50-54,3/2/2021,3591,37737,1540,15393,2394,28777,8995,85708,13307,183477,125895,1213527
50-54,4/2/2021,3717,37737,1589,15393,2443,28777,9233,85708,13580,183477,128821,1213527
50-54,5/2/2021,3829,37737,1624,15393,2499,28777,9436,85708,13874,183477,131572,1213527
50-54,6/2/2021,3913,37737,1659,15393,2534,28777,9667,85708,14147,183477,134232,1213527
50-54,7/2/2021,3962,37737,1687,15393,2555,28777,9814,85708,14287,183477,135793,1213527
50-54,8/2/2021,4053,37737,1708,15393,2583,28777,9968,85708,14455,183477,137291,1213527
50-54,9/2/2021,4158,37737,1736,15393,2611,28777,10136,85708,14658,183477,139237,1213527
50-54,10/2/2021,4256,37737,1778,15393,2653,28777,10381,85708,14889,183477,141449,1213527
50-54,11/2/2021,4375,37737,1841,15393,2709,28777,10682,85708,15127,183477,144480,1213527
50-54,12/2/2021,4557,37737,1897,15393,2793,28777,11053,85708,15456,183477,148498,1213527
50-54,13/02/2021,4655,37737,1939,15393,2856,28777,11438,85708,15764,183477,152572,1213527
50-54,14/02/2021,4718,37737,1974,15393,2905,28777,11704,85708,15981,183477,155085,1213527
50-54,15/02/2021,4809,37737,2002,15393,2947,28777,12026,85708,16205,183477,157745,1213527
50-54,16/02/2021,4977,37737,2093,15393,3038,28777,12621,85708,16688,183477,164164,1213527
50-54,17/02/2021,5194,37737,2177,15393,3185,28777,13426,85708,17458,183477,176001,1213527
50-54,18/02/2021,5418,37737,2296,15393,3318,28777,14217,85708,18235,183477,187362,1213527
50-54,19/02/2021,5586,37737,2373,15393,3437,28777,14938,85708,18865,183477,196518,1213527
50-54,20/02/2021,5719,37737,2464,15393,3556,28777,15540,85708,19607,183477,206248,1213527
50-54,21/02/2021,5803,37737,2492,15393,3619,28777,15904,85708,19866,183477,209832,1213527
50-54,22/02/2021,5936,37737,2548,15393,3689,28777,16373,85708,20195,183477,214179,1213527
50-54,23/02/2021,6118,37737,2611,15393,3836,28777,17031,85708,20979,183477,225029,1213527
50-54,24/02/2021,6349,37737,2709,15393,3997,28777,17948,85708,22001,183477,239113,1213527
50-54,25/02/2021,6622,37737,2835,15393,4221,28777,19110,85708,22995,183477,254079,1213527
50-54,26/02/2021,6916,37737,2989,15393,4424,28777,20111,85708,24157,183477,269395,1213527
50-54,27/02/2021,7140,37737,3101,15393,4606,28777,20937,85708,25088,183477,281407,1213527
50-54,28/02/2021,7266,37737,3171,15393,4669,28777,21392,85708,25480,183477,285775,1213527
50-54,1/3/2021,7329,37737,3213,15393,4732,28777,21630,85708,25816,183477,289261,1213527
50-54,2/3/2021,7448,37737,3276,15393,4872,28777,21973,85708,26180,183477,293594,1213527
50-54,3/3/2021,7623,37737,3360,15393,5005,28777,22589,85708,26775,183477,301273,1213527
50-54,4/3/2021,7847,37737,3486,15393,5138,28777,23464,85708,27664,183477,312501,1213527
50-54,5/3/2021,8106,37737,3612,15393,5320,28777,24395,85708,28637,183477,324443,1213527
50-54,6/3/2021,8414,37737,3766,15393,5579,28777,25305,85708,29778,183477,337904,1213527
50-54,7/3/2021,8498,37737,3801,15393,5628,28777,25655,85708,30023,183477,341327,1213527
50-54,8/3/2021,8596,37737,3843,15393,5684,28777,25963,85708,30303,183477,344652,1213527
50-54,9/3/2021,8736,37737,3892,15393,5768,28777,26439,85708,30639,183477,349041,1213527
50-54,10/3/2021,8897,37737,3955,15393,5880,28777,26901,85708,31171,183477,354641,1213527
50-54,11/3/2021,9072,37737,4046,15393,6020,28777,27384,85708,31731,183477,360633,1213527
50-54,12/3/2021,9443,37737,4207,15393,6307,28777,28455,85708,33327,183477,374661,1213527
50-54,13/03/2021,9912,37737,4466,15393,6699,28777,30009,85708,36883,183477,406504,1213527
50-54,14/03/2021,10150,37737,4585,15393,6923,28777,30779,85708,38129,183477,418110,1213527
50-54,15/03/2021,10416,37737,4711,15393,7175,28777,31892,85708,39683,183477,433139,1213527
50-54,16/03/2021,10766,37737,4914,15393,7504,28777,33138,85708,42798,183477,459298,1213527
50-54,17/03/2021,11333,37737,5229,15393,8106,28777,35336,85708,47936,183477,497378,1213527
50-54,18/03/2021,12145,37737,5712,15393,9009,28777,37751,85708,56714,183477,559146,1213527
50-54,19/03/2021,13062,37737,6272,15393,10080,28777,40551,85708,65625,183477,623938,1213527
50-54,20/03/2021,14420,37737,7147,15393,11536,28777,44184,85708,81452,183477,730450,1213527
50-54,21/03/2021,14966,37737,7441,15393,12166,28777,45675,85708,87367,183477,768957,1213527
50-54,22/03/2021,15617,37737,7784,15393,12831,28777,47313,85708,92764,183477,802571,1213527
50-54,23/03/2021,16198,37737,8092,15393,13531,28777,49091,85708,98217,183477,836143,1213527
50-54,24/03/2021,16800,37737,8393,15393,14154,28777,50932,85708,103369,183477,866607,1213527
50-54,25/03/2021,17472,37737,8708,15393,14819,28777,52787,85708,108479,183477,896973,1213527
50-54,26/03/2021,18214,37737,9037,15393,15386,28777,54705,85708,113904,183477,929075,1213527
50-54,27/03/2021,19201,37737,9422,15393,16142,28777,57134,85708,121044,183477,969857,1213527
50-54,28/03/2021,19621,37737,9583,15393,16527,28777,58198,85708,124796,183477,989065,1213527
50-54,29/03/2021,19978,37737,9744,15393,16961,28777,59185,85708,127603,183477,1003429,1213527
50-54,30/03/2021,20328,37737,9877,15393,17283,28777,59983,85708,130011,183477,1016085,1213527
50-54,31/03/2021,20734,37737,10038,15393,17605,28777,60886,85708,132454,183477,1028811,1213527
50-54,1/4/2021,20979,37737,10094,15393,17752,28777,61390,85708,133455,183477,1034376,1213527
50-54,2/4/2021,21098,37737,10143,15393,17829,28777,61649,85708,134155,183477,1037666,1213527
50-54,3/4/2021,21245,37737,10185,15393,17920,28777,61957,85708,134834,183477,1041530,1213527
50-54,4/4/2021,21308,37737,10206,15393,17962,28777,62125,85708,135142,183477,1043063,1213527
50-54,5/4/2021,21336,37737,10213,15393,17997,28777,62209,85708,135261,183477,1043707,1213527
50-54,6/4/2021,21406,37737,10241,15393,18067,28777,62419,85708,135485,183477,1045086,1213527
50-54,7/4/2021,21504,37737,10283,15393,18130,28777,62748,85708,135807,183477,1047004,1213527
50-54,8/4/2021,21609,37737,10311,15393,18186,28777,63000,85708,136115,183477,1048852,1213527
50-54,9/4/2021,21735,37737,10360,15393,18256,28777,63350,85708,136528,183477,1051505,1213527
50-54,10/4/2021,21854,37737,10402,15393,18333,28777,63637,85708,137004,183477,1054438,1213527
50-54,11/4/2021,21889,37737,10423,15393,18382,28777,63791,85708,137249,183477,1055579,1213527
50-54,12/4/2021,21952,37737,10437,15393,18403,28777,63896,85708,137403,183477,1056363,1213527
50-54,13/04/2021,21987,37737,10451,15393,18445,28777,63980,85708,137564,183477,1057182,1213527
50-54,14/04/2021,22043,37737,10472,15393,18480,28777,64064,85708,137718,183477,1057980,1213527
50-54,15/04/2021,22092,37737,10493,15393,18515,28777,64197,85708,137865,183477,1058813,1213527
50-54,16/04/2021,22134,37737,10507,15393,18536,28777,64281,85708,138026,183477,1059695,1213527
50-54,17/04/2021,22204,37737,10521,15393,18578,28777,64393,85708,138187,183477,1060640,1213527
50-54,18/04/2021,22225,37737,10528,15393,18599,28777,64477,85708,138278,183477,1061095,1213527
50-54,19/04/2021,22246,37737,10528,15393,18620,28777,64526,85708,138348,183477,1061543,1213527
50-54,20/04/2021,22267,37737,10542,15393,18641,28777,64589,85708,138432,183477,1062033,1213527
50-54,21/04/2021,22309,37737,10556,15393,18676,28777,64659,85708,138523,183477,1062614,1213527
50-54,22/04/2021,22351,37737,10570,15393,18697,28777,64743,85708,138635,183477,1063223,1213527
50-54,23/04/2021,22386,37737,10591,15393,18725,28777,64813,85708,138761,183477,1063951,1213527
50-54,24/04/2021,22428,37737,10598,15393,18767,28777,64925,85708,138908,183477,1064728,1213527
50-54,25/04/2021,22449,37737,10605,15393,18781,28777,64988,85708,138999,183477,1065092,1213527
50-54,26/04/2021,22470,37737,10612,15393,18809,28777,65051,85708,139076,183477,1065449,1213527
50-54,27/04/2021,22505,37737,10626,15393,18830,28777,65114,85708,139167,183477,1065939,1213527
50-54,28/04/2021,22533,37737,10647,15393,18851,28777,65184,85708,139237,183477,1066408,1213527
50-54,29/04/2021,22575,37737,10661,15393,18879,28777,65247,85708,139328,183477,1066905,1213527
50-54,30/04/2021,22617,37737,10675,15393,18907,28777,65345,85708,139447,183477,1067444,1213527
50-54,1/5/2021,22652,37737,10689,15393,18928,28777,65422,85708,139538,183477,1067899,1213527
50-54,2/5/2021,22673,37737,10703,15393,18942,28777,65471,85708,139594,183477,1068151,1213527
50-54,3/5/2021,22687,37737,10703,15393,18956,28777,65513,85708,139622,183477,1068298,1213527
50-54,4/5/2021,22708,37737,10710,15393,18970,28777,65562,85708,139671,183477,1068592,1213527
50-54,5/5/2021,22736,37737,10717,15393,18991,28777,65639,85708,139741,183477,1068963,1213527
50-54,6/5/2021,22785,37737,10724,15393,19026,28777,65723,85708,139811,183477,1069397,1213527
50-54,7/5/2021,22827,37737,10738,15393,19061,28777,65793,85708,139902,183477,1069887,1213527
50-54,8/5/2021,22862,37737,10745,15393,19089,28777,65863,85708,140014,183477,1070482,1213527
50-54,9/5/2021,22883,37737,10752,15393,19117,28777,65912,85708,140098,183477,1070741,1213527
50-54,10/5/2021,22911,37737,10759,15393,19145,28777,65968,85708,140154,183477,1071056,1213527
50-54,11/5/2021,22939,37737,10766,15393,19187,28777,66066,85708,140224,183477,1071469,1213527
50-54,12/5/2021,22974,37737,10787,15393,19222,28777,66150,85708,140322,183477,1072064,1213527
50-54,13/05/2021,23023,37737,10794,15393,19264,28777,66269,85708,140434,183477,1072701,1213527
50-54,14/05/2021,23086,37737,10808,15393,19313,28777,66423,85708,140532,183477,1073331,1213527
50-54,15/05/2021,23149,37737,10822,15393,19355,28777,66577,85708,140658,183477,1074045,1213527
50-54,16/05/2021,23191,37737,10836,15393,19390,28777,66661,85708,140735,183477,1074395,1213527
50-54,17/05/2021,23219,37737,10843,15393,19418,28777,66752,85708,140777,183477,1074682,1213527
50-54,18/05/2021,23240,37737,10857,15393,19453,28777,66899,85708,140847,183477,1075130,1213527
50-54,19/05/2021,23296,37737,10878,15393,19502,28777,67109,85708,140966,183477,1075732,1213527
50-54,20/05/2021,23359,37737,10899,15393,19537,28777,67305,85708,141064,183477,1076334,1213527
50-54,21/05/2021,23408,37737,10906,15393,19579,28777,67445,85708,141162,183477,1076866,1213527
50-54,22/05/2021,23464,37737,10927,15393,19607,28777,67585,85708,141281,183477,1077503,1213527
50-54,23/05/2021,23485,37737,10941,15393,19635,28777,67676,85708,141337,183477,1077811,1213527
50-54,24/05/2021,23520,37737,10948,15393,19663,28777,67760,85708,141393,183477,1078126,1213527
50-54,25/05/2021,23562,37737,10962,15393,19698,28777,67858,85708,141470,183477,1078518,1213527
50-54,26/05/2021,23611,37737,10990,15393,19747,28777,67984,85708,141561,183477,1078980,1213527
50-54,27/05/2021,23674,37737,11004,15393,19782,28777,68131,85708,141645,183477,1079449,1213527
50-54,28/05/2021,23730,37737,11025,15393,19817,28777,68243,85708,141729,183477,1079890,1213527
50-54,29/05/2021,23779,37737,11046,15393,19852,28777,68362,85708,141827,183477,1080324,1213527
50-54,30/05/2021,23800,37737,11060,15393,19880,28777,68453,85708,141876,183477,1080527,1213527
50-54,31/05/2021,23821,37737,11060,15393,19908,28777,68516,85708,141897,183477,1080688,1213527
50-54,1/6/2021,23849,37737,11067,15393,19929,28777,68586,85708,141946,183477,1080912,1213527
50-54,2/6/2021,23877,37737,11081,15393,19957,28777,68677,85708,142023,183477,1081206,1213527
50-54,3/6/2021,23905,37737,11095,15393,19985,28777,68768,85708,142086,183477,1081584,1213527
50-54,4/6/2021,23954,37737,11109,15393,20013,28777,68852,85708,142149,183477,1081927,1213527
50-54,5/6/2021,23996,37737,11116,15393,20034,28777,68985,85708,142240,183477,1082403,1213527
50-54,6/6/2021,24024,37737,11123,15393,20048,28777,69048,85708,142282,183477,1082648,1213527
50-54,7/6/2021,24052,37737,11130,15393,20076,28777,69111,85708,142324,183477,1082886,1213527
50-54,8/6/2021,24073,37737,11137,15393,20097,28777,69181,85708,142373,183477,1083138,1213527
50-54,9/6/2021,24108,37737,11144,15393,20132,28777,69265,85708,142436,183477,1083474,1213527
50-54,10/6/2021,24150,37737,11158,15393,20153,28777,69349,85708,142506,183477,1083775,1213527
50-54,11/6/2021,24185,37737,11165,15393,20181,28777,69440,85708,142576,183477,1084111,1213527
50-54,12/6/2021,24220,37737,11186,15393,20202,28777,69517,85708,142660,183477,1084489,1213527
50-54,13/06/2021,24241,37737,11193,15393,20216,28777,69566,85708,142695,183477,1084706,1213527
50-54,14/06/2021,24262,37737,11193,15393,20244,28777,69594,85708,142730,183477,1084923,1213527
50-54,15/06/2021,24283,37737,11200,15393,20258,28777,69664,85708,142779,183477,1085210,1213527
50-54,16/06/2021,24311,37737,11214,15393,20272,28777,69734,85708,142828,183477,1085462,1213527
50-54,17/06/2021,24346,37737,11214,15393,20293,28777,69825,85708,142877,183477,1085756,1213527
50-54,18/06/2021,24388,37737,11221,15393,20314,28777,69881,85708,142926,183477,1085987,1213527
50-54,19/06/2021,24437,37737,11242,15393,20335,28777,69986,85708,142989,183477,1086379,1213527
50-54,20/06/2021,24451,37737,11242,15393,20342,28777,70028,85708,143024,183477,1086533,1213527
50-54,21/06/2021,24472,37737,11249,15393,20356,28777,70063,85708,143052,183477,1086673,1213527
50-54,22/06/2021,24500,37737,11256,15393,20377,28777,70112,85708,143101,183477,1086876,1213527
50-54,23/06/2021,24528,37737,11263,15393,20391,28777,70168,85708,143136,183477,1087086,1213527
50-54,24/06/2021,24528,37737,11263,15393,20391,28777,70168,85708,143136,183477,1087086,1213527
55-59,1/12/2020,0,31038,0,12306,0,22344,0,60228,0,165452,0,1221535
55-59,6/12/2020,0,31038,0,12306,0,22344,0,60228,0,165452,0,1221535
55-59,8/12/2020,0,31038,0,12306,0,22344,14,60228,28,165452,210,1221535
55-59,9/12/2020,7,31038,14,12306,7,22344,28,60228,56,165452,595,1221535
55-59,10/12/2020,14,31038,14,12306,7,22344,56,60228,98,165452,910,1221535
55-59,11/12/2020,14,31038,14,12306,14,22344,77,60228,126,165452,1239,1221535
55-59,12/12/2020,21,31038,21,12306,21,22344,98,60228,175,165452,1575,1221535
55-59,13/12/2020,28,31038,21,12306,28,22344,119,60228,196,165452,1813,1221535
55-59,14/12/2020,35,31038,21,12306,35,22344,154,60228,231,165452,2170,1221535
55-59,15/12/2020,49,31038,28,12306,42,22344,203,60228,301,165452,2744,1221535
55-59,16/12/2020,63,31038,42,12306,56,22344,252,60228,378,165452,3542,1221535
55-59,17/12/2020,84,31038,49,12306,77,22344,322,60228,476,165452,4473,1221535
55-59,18/12/2020,91,31038,56,12306,84,22344,399,60228,560,165452,5341,1221535
55-59,19/12/2020,98,31038,63,12306,91,22344,469,60228,637,165452,6083,1221535
55-59,20/12/2020,119,31038,77,12306,119,22344,567,60228,749,165452,7098,1221535
55-59,21/12/2020,140,31038,84,12306,140,22344,644,60228,875,165452,8512,1221535
55-59,22/12/2020,154,31038,98,12306,154,22344,735,60228,994,165452,9639,1221535
55-59,23/12/2020,189,31038,119,12306,175,22344,840,60228,1162,165452,11053,1221535
55-59,24/12/2020,196,31038,126,12306,196,22344,889,60228,1253,165452,11697,1221535
55-59,25/12/2020,196,31038,126,12306,196,22344,889,60228,1253,165452,11697,1221535
55-59,26/12/2020,203,31038,126,12306,196,22344,889,60228,1253,165452,11725,1221535
55-59,27/12/2020,203,31038,133,12306,203,22344,903,60228,1274,165452,11949,1221535
55-59,28/12/2020,210,31038,133,12306,203,22344,924,60228,1302,165452,12236,1221535
55-59,29/12/2020,224,31038,140,12306,217,22344,980,60228,1386,165452,13139,1221535
55-59,30/12/2020,266,31038,161,12306,259,22344,1134,60228,1624,165452,15316,1221535
55-59,31/12/2020,308,31038,182,12306,301,22344,1288,60228,1841,165452,17493,1221535
55-59,1/1/2021,322,31038,182,12306,308,22344,1309,60228,1890,165452,18011,1221535
55-59,2/1/2021,336,31038,189,12306,322,22344,1344,60228,1939,165452,18641,1221535
55-59,3/1/2021,343,31038,196,12306,322,22344,1379,60228,1988,165452,19117,1221535
55-59,4/1/2021,371,31038,203,12306,343,22344,1435,60228,2072,165452,20041,1221535
55-59,5/1/2021,406,31038,217,12306,364,22344,1547,60228,2254,165452,21952,1221535
55-59,6/1/2021,455,31038,245,12306,406,22344,1666,60228,2506,165452,24514,1221535
55-59,7/1/2021,539,31038,273,12306,455,22344,1869,60228,2870,165452,28518,1221535
55-59,8/1/2021,623,31038,308,12306,518,22344,2093,60228,3269,165452,32711,1221535
55-59,9/1/2021,679,31038,343,12306,567,22344,2254,60228,3661,165452,36519,1221535
55-59,10/1/2021,714,31038,357,12306,595,22344,2359,60228,3871,165452,38724,1221535
55-59,11/1/2021,770,31038,392,12306,630,22344,2478,60228,4172,165452,42000,1221535
55-59,12/1/2021,854,31038,427,12306,686,22344,2625,60228,4550,165452,46214,1221535
55-59,13/01/2021,952,31038,469,12306,742,22344,2807,60228,5005,165452,50757,1221535
55-59,14/01/2021,1057,31038,504,12306,791,22344,3017,60228,5481,165452,55818,1221535
55-59,15/01/2021,1183,31038,546,12306,854,22344,3220,60228,6006,165452,61474,1221535
55-59,16/01/2021,1274,31038,581,12306,903,22344,3437,60228,6524,165452,66297,1221535
55-59,17/01/2021,1344,31038,609,12306,938,22344,3556,60228,6846,165452,69580,1221535
55-59,18/01/2021,1435,31038,651,12306,987,22344,3696,60228,7231,165452,73269,1221535
55-59,19/01/2021,1547,31038,693,12306,1043,22344,3864,60228,7644,165452,77532,1221535
55-59,20/01/2021,1659,31038,742,12306,1092,22344,4095,60228,8064,165452,82369,1221535
55-59,21/01/2021,1799,31038,791,12306,1134,22344,4270,60228,8512,165452,87318,1221535
55-59,22/01/2021,1946,31038,833,12306,1211,22344,4494,60228,9002,165452,92967,1221535
55-59,23/01/2021,2037,31038,889,12306,1260,22344,4669,60228,9394,165452,97545,1221535
55-59,24/01/2021,2114,31038,910,12306,1288,22344,4760,60228,9646,165452,100324,1221535
55-59,25/01/2021,2198,31038,945,12306,1330,22344,4879,60228,9954,165452,103607,1221535
55-59,26/01/2021,2296,31038,980,12306,1379,22344,5047,60228,10304,165452,107212,1221535
55-59,27/01/2021,2415,31038,1022,12306,1421,22344,5201,60228,10626,165452,110621,1221535
55-59,28/01/2021,2541,31038,1064,12306,1463,22344,5348,60228,10955,165452,114198,1221535
55-59,29/01/2021,2667,31038,1113,12306,1519,22344,5544,60228,11333,165452,118265,1221535
55-59,30/01/2021,2737,31038,1148,12306,1561,22344,5712,60228,11613,165452,121639,1221535
55-59,31/01/2021,2786,31038,1176,12306,1568,22344,5873,60228,11851,165452,123949,1221535
55-59,1/2/2021,2856,31038,1204,12306,1589,22344,5985,60228,12026,165452,126224,1221535
55-59,2/2/2021,2933,31038,1232,12306,1631,22344,6146,60228,12257,165452,128709,1221535
55-59,3/2/2021,3017,31038,1281,12306,1666,22344,6356,60228,12467,165452,131544,1221535
55-59,4/2/2021,3136,31038,1309,12306,1701,22344,6573,60228,12733,165452,134568,1221535
55-59,5/2/2021,3234,31038,1344,12306,1750,22344,6776,60228,13013,165452,137620,1221535
55-59,6/2/2021,3318,31038,1379,12306,1792,22344,6972,60228,13279,165452,140574,1221535
55-59,7/2/2021,3360,31038,1400,12306,1820,22344,7105,60228,13440,165452,142338,1221535
55-59,8/2/2021,3423,31038,1421,12306,1834,22344,7224,60228,13573,165452,144018,1221535
55-59,9/2/2021,3500,31038,1442,12306,1862,22344,7385,60228,13769,165452,146307,1221535
55-59,10/2/2021,3619,31038,1470,12306,1904,22344,7700,60228,14000,165452,149086,1221535
55-59,11/2/2021,3773,31038,1540,12306,1981,22344,8106,60228,14329,165452,152908,1221535
55-59,12/2/2021,3941,31038,1610,12306,2086,22344,8547,60228,14672,165452,158193,1221535
55-59,13/02/2021,4088,31038,1659,12306,2184,22344,9044,60228,15057,165452,163261,1221535
55-59,14/02/2021,4151,31038,1701,12306,2247,22344,9485,60228,15358,165452,166677,1221535
55-59,15/02/2021,4235,31038,1750,12306,2310,22344,9877,60228,15638,165452,170044,1221535
55-59,16/02/2021,4382,31038,1820,12306,2436,22344,10437,60228,16289,165452,179403,1221535
55-59,17/02/2021,4620,31038,1953,12306,2618,22344,11312,60228,17339,165452,197526,1221535
55-59,18/02/2021,4858,31038,2051,12306,2807,22344,12201,60228,18389,165452,214991,1221535
55-59,19/02/2021,5047,31038,2163,12306,2968,22344,12943,60228,19243,165452,228361,1221535
55-59,20/02/2021,5250,31038,2254,12306,3094,22344,13545,60228,20118,165452,242088,1221535
55-59,21/02/2021,5341,31038,2282,12306,3164,22344,13916,60228,20461,165452,246673,1221535
55-59,22/02/2021,5460,31038,2317,12306,3248,22344,14371,60228,20825,165452,252273,1221535
55-59,23/02/2021,5698,31038,2436,12306,3430,22344,15092,60228,21784,165452,266910,1221535
55-59,24/02/2021,5971,31038,2555,12306,3668,22344,16009,60228,23002,165452,286237,1221535
55-59,25/02/2021,6321,31038,2723,12306,3955,22344,17192,60228,24304,165452,306530,1221535
55-59,26/02/2021,6692,31038,2898,12306,4256,22344,18298,60228,25788,165452,328517,1221535
55-59,27/02/2021,7014,31038,3052,12306,4473,22344,19138,60228,27013,165452,345562,1221535
55-59,28/02/2021,7147,31038,3101,12306,4557,22344,19572,60228,27447,165452,351092,1221535
55-59,1/3/2021,7224,31038,3143,12306,4627,22344,19831,60228,27846,165452,355453,1221535
55-59,2/3/2021,7336,31038,3192,12306,4767,22344,20146,60228,28336,165452,360864,1221535
55-59,3/3/2021,7539,31038,3290,12306,4942,22344,20727,60228,29204,165452,370783,1221535
55-59,4/3/2021,7756,31038,3381,12306,5117,22344,21553,60228,30247,165452,384384,1221535
55-59,5/3/2021,8050,31038,3542,12306,5411,22344,22407,60228,31738,165452,401317,1221535
55-59,6/3/2021,8365,31038,3696,12306,5712,22344,23324,60228,33348,165452,420147,1221535
55-59,7/3/2021,8477,31038,3738,12306,5803,22344,23660,60228,33824,165452,426230,1221535
55-59,8/3/2021,8596,31038,3801,12306,5915,22344,24066,60228,34552,165452,434175,1221535
55-59,9/3/2021,8904,31038,3927,12306,6167,22344,24822,60228,35700,165452,445921,1221535
